id  expt_name   species
SRR1795636  OWENS_RIBO   xenopus_t
SRR1795637  OWENS_RIBO   xenopus_t
SRR1795638  OWENS_RIBO   xenopus_t
SRR1795639  OWENS_RIBO   xenopus_t
SRR1795640  OWENS_RIBO   xenopus_t
SRR1795641  OWENS_RIBO   xenopus_t
SRR1795644  OWENS_RIBO   xenopus_t
SRR1795655  OWENS_RIBO   xenopus_t
SRR1795666  OWENS_RIBO   xenopus_t
SRR1795674  OWENS_RIBO   xenopus_t
SRR1795675  OWENS_RIBO   xenopus_t
SRR1795676  OWENS_RIBO   xenopus_t
SRR1795677  OWENS_RIBO   xenopus_t
SRR1795678  OWENS_RIBO   xenopus_t
#SRR1795555  OWENS_POLYA   xenopus_t
#SRR1795556  OWENS_POLYA   xenopus_t
#SRR1795557  OWENS_POLYA   xenopus_t
#SRR1795643  OWENS_POLYA   xenopus_t
#SRR1795645  OWENS_POLYA   xenopus_t
#SRR1795646  OWENS_POLYA   xenopus_t
#SRR689250  XUE  human 
#SRR893046  XUE  human
#SRR893047  XUE  human
#SRR893048  XUE  human
#SRR893049  XUE  human
#SRR893050  XUE  human
#SRR893051  XUE  human
#SRR893052  XUE  human
#SRR893053  XUE  human
#SRR893054  XUE  human
#SRR893055  XUE  human
#SRR893056  XUE  human
#SRR893057  XUE  human
#SRR893058  XUE  human
#SRR893059  XUE  human
#SRR893060  XUE  human
#SRR893061  XUE  human
#SRR893062  XUE  human
#SRR893063  XUE  human
#SRR893064  XUE  human
#SRR893065  XUE  human
#SRR893066  XUE  human
#SRR893067  XUE  human
#SRR893068  XUE  human
#SRR893069  XUE  human
#SRR893070  XUE  human
#SRR893071  XUE  human
#SRR893072  XUE  human
#SRR893073  XUE  human
#SRR893074  XUE  human
#SRR689233  XUE  mouse
#SRR689234  XUE  mouse
#SRR689235  XUE  mouse
#SRR689236  XUE  mouse
#SRR689237  XUE  mouse
#SRR689238  XUE  mouse
#SRR689239  XUE  mouse
#SRR689240  XUE  mouse
#SRR689241  XUE  mouse
#SRR689242  XUE  mouse
#SRR689243  XUE  mouse
#SRR689244  XUE  mouse
#SRR689245  XUE  mouse
#SRR689246  XUE  mouse
#SRR689247  XUE  mouse
#SRR689248  XUE  mouse
#SRR689249  XUE  mouse
#SRR4204939  HWANG   chicken
#SRR4204940  HWANG   chicken
#SRR4204941  HWANG   chicken
#SRR4204942  HWANG   chicken
#SRR4204943  HWANG   chicken
#SRR4204944  HWANG   chicken
#SRR4204945  HWANG   chicken
#SRR4204946  HWANG   chicken
#SRR4204947  HWANG   chicken
#SRR4204948  HWANG   chicken
#SRR4204949  HWANG   chicken
#SRR4204950  HWANG   chicken
#SRR4204951  HWANG   chicken
#SRR4204952  HWANG   chicken
#SRR4204953  HWANG   chicken
#SRR4204954  HWANG   chicken
#SRR4204955  HWANG   chicken
#SRR4204956  HWANG   chicken
#SRR4204957  HWANG   chicken
#SRR4204958  HWANG   chicken
#SRR4204959  HWANG   chicken
#SRR8039687  HARRIS  drosophila
#SRR8039688  HARRIS  drosophila
#SRR8039689  HARRIS  drosophila
#SRR8039690  HARRIS  drosophila
#SRR8039691  HARRIS  drosophila
#SRR8039692  HARRIS  drosophila
#SRR8039693  HARRIS  drosophila
#SRR8039694  HARRIS  drosophila
#SRR8039695  HARRIS  drosophila
#SRR8039696  HARRIS  drosophila
#SRR8039697  HARRIS  drosophila
#SRR8039698  HARRIS  drosophila
#SRR8039699  HARRIS  drosophila
#SRR8039700  HARRIS  drosophila
#SRR8039701  HARRIS  drosophila
